我	ngo5
蘇里南河	sou1 lei5 naam4 ho4
蘇金達	sou1 gam1 daat6
蘇錦樑	sou1 gam2 loeng4
蘇鐵	sou1 tit3
蘇門答臘	sou1 mun4 daap3 laap6
蘇門答臘島	sou1 mun4 daap3 laap6 dou2
蘇門達臘	sou1 mun4 daat6 laap6
蘇非主義	sou1 fei1 zyu2 ji6
蘇黎世	sou1 lai4 sai3
蘇黎世聯邦理工學院	sou1 lai4 sai3 lyun4 bong1 lei5 gung1 hok6 jyun2
蘇黎士	sou1 lai4 si6
蘊和	wan2 wo4
蘊涵	wan2 haam4
蘊積	wan2 zik1
蘊結	wan2 git3
蘊聚	wan2 zeoi6
蘊蓄	wan2 cuk1
蘊藏量	wan2 cong4 loeng6
蘋	ping4
蘋果公司	ping4 gwo2 gung1 si1
蘋果手機	ping4 gwo2 sau2 gei1
蘋果批	ping4 gwo2 pai1
蘋果核	ping4 gwo2 wat6
蘋果汁	ping4 gwo2 zap1
蘋果派	ping4 gwo2 paai3
蘋果蠹蛾	ping4 gwo2 dou3 ngo4
蘋果酒	ping4 gwo2 zau2
蘋果醬	ping4 gwo2 zoeng3
蘋果電腦	ping4 gwo2 din6 nou5
蘋果餡餅	ping4 gwo2 haam2 beng2
蘑菇湯	mo4 gu1 tong1
蘑菇雲	mo4 gu1 wan4
蘘	joeng4
蘘荷	joeng4 ho4
蘚	sin2
蘚苔	sin2 toi4
蘞	lim4
蘢蔥	lung4 cung1
蘧然	keoi4 jin4
蘭交	laan4 gaau1
蘭亭	laan4 ting4
蘭博基尼	laan4 bok3 gei1 nei4
蘭因絮果	laan4 jan1 seoi5 gwo2
蘭坪	laan4 ping4
蘭坪白族普米族自治縣	laan4 ping4 baak6 zuk6 pou2 mai5 zuk6 zi6 zi6 jyun6
蘭坪縣	laan4 ping4 jyun6
蘭姆	laan4 mou5
蘭姆打	laan4 mou5 daa2
蘭姆達	laan4 mou5 daat6
蘭姆酒	laan4 mou5 zau2
蘭學	laan4 hok6
蘭室	laan4 sat1
蘭山	laan4 saan1
蘭山區	laan4 saan1 keoi1
蘭嶼	laan4 jyu4
蘭嶼鄉	laan4 jyu4 hoeng1
蘭州	laan4 zau1
蘭州大學	laan4 zau1 daai6 hok6
蘭州市	laan4 zau1 si5
蘭摧玉折	laan4 ceoi1 juk6 zit3
蘭斯	laan4 si1
蘭斯洛特	laan4 si1 lok6 dak6
蘭新	laan4 san1
蘭新鐵路	laan4 san1 tit3 lou6
蘭溪	laan4 kai1
蘭溪市	laan4 kai1 si5
蘭特	laan4 dak6
蘭玉	laan4 juk6
蘭科	laan4 fo1
蘭章	laan4 zoeng1
蘭考	laan4 haau2
蘭考縣	laan4 haau2 jyun6
蘭舟	laan4 zau1
蘭艾同焚	laan4 ngaai6 tung4 fan4
蘭花指	laan4 faa1 zi2
蘭若	laan4 je5
蘭蔻	laan4 kau3
蘭西縣	laan4 sai1 jyun6
蘭言	laan4 jin4
蘭譜	laan4 pou2
蘭辛	laan4 san1
蘭迪斯	laan4 dik6 si1
蘭鄭長成品油管道	laan4 zeng6 coeng4 sing4 ban2 jau4 gun2 dou6
蘭鄭長管道	laan4 zeng6 coeng4 gun2 dou6
蘭開夏道	laan4 hoi1 haa6 dou6
蘭開夏郡	laan4 hoi1 haa6 gwan6
蘭開斯特	laan4 hoi1 si1 dak6
蘭閨	laan4 gwai1
蘭陵笑笑生	laan4 ling4 siu3 siu3 sang1
蘭麝	laan4 se6
蘸火	zaam3 fo2
蘸破	zaam3 po3
蘸醬	zaam3 zoeng3
蘼	mei4
蘼蕪	mei4 mou4
蘿北	lo4 bak1
蘿北縣	lo4 bak1 jyun6
蘿崗	lo4 gong1
蘿崗區	lo4 gong1 keoi1
蘿柚	lo1 jau2
蘿艻	lo4 lak6
蘿莉	lo4 lei6
蘿莉控	lo4 lei6 hung3
蘿蔔仔	lo4 baak6 zai2
蘿蔔白菜各有所愛	lo4 baak6 baak6 coi3 gok3 jau5 so2 oi3
蘿蔔青菜各有所愛	lo4 baak6 ceng1 coi3 gok3 jau5 so2 oi3
虉草	jik6 cou2
虎不拉	fu2 bat1 laai1
虎丘	fu2 jau1
虎丘區	fu2 jau1 keoi1
虎列拉	fu2 lit6 laai1
虎口餘生	fu2 hau2 jyu4 sang1
虎咬豬	fu2 ngaau5 zyu1
虎子	fu2 zi2
虎字頭	fu2 zi6 tau4
虎將	fu2 zoeng3
虎尾	fu2 mei5
虎尾春冰	fu2 mei5 ceon1 bing1
虎尾鎮	fu2 mei5 zan3
虎年	fu2 nin4
虎斑地鶇	fu2 baan1 dei6 dung1
虎斑鸚鵡	fu2 baan1 jing1 mou5
虎林	fu2 lam4
虎林市	fu2 lam4 si5
虎毒不食子	fu2 duk6 bat1 sik6 zi2
虎烈拉	fu2 lit6 laai1
虎爪派	fu2 zaau2 paai3
虎父無犬子	fu2 fu6 mou4 hyun2 zi2
虎牌	fu2 paai4
虎牙	fu2 ngaa4
虎狼	fu2 long4
虎獅獸	fu2 si1 sau3
虎皮鸚鵡	fu2 pei4 jing1 mou5
虎穴	fu2 jyut6
虎紋伯勞	fu2 man4 baak3 lou4
虎背熊腰	fu2 bui3 hung4 jiu1
虎落平陽被犬欺	fu2 lok6 ping4 joeng4 bei6 hyun2 hei1
虎虎	fu2 fu2
虎豹別墅	fu2 paau3 bit6 seoi5
虎起臉	fu2 hei2 lim5
虎跳峽	fu2 tiu3 haap6
虎踞龍盤	fu2 geoi3 lung4 pun4
虎踞龍蟠	fu2 geoi3 lung4 pun4
虎蹲砲	fu2 cyun4 paau3
虎鉗	fu2 kim4
虎門	fu2 mun4
虎門鎮	fu2 mun4 zan3
虎頭海鵰	fu2 tau4 hoi2 diu1
虎頭牌	fu2 tau4 paai4
虎頭蛇尾	fu2 tau4 se4 mei5
虎頭蜂	fu2 tau4 fung1
虎骨	fu2 gwat1
虎魄	fu2 paak3
虎鯨	fu2 king4
虐待狂	joek6 doi6 kwong4
虐戀	joek6 lyun2
虒	si1
虔信	kin4 seon3
虔信主義	kin4 seon3 zyu2 ji6
虔信派	kin4 seon3 paai3
虔信者	kin4 seon3 ze2
虔敬	kin4 ging3
處世之道	cyu2 sai3 zi1 dou6
處世原則	cyu2  sai3 jyun4 zak1
處事原則	cyu2 si6 jyun4 zak1
處刑	cyu2 jing4
處在	cyu3 zoi6
處堂燕雀	cyu2 tong4 jin3 zoek3
處女地	cyu2 neoi2 dei6
處女航	cyu2 neoi5 hong4
處子	cyu2 zi2
處子秀	cyu2 zi2 sau3
處所	cyu3 so2
處暑	cyu2 syu2
處格	cyu3 gaak3
處治	cyu2 zi6
處理器	cyu2 lei5 hei3
處理能力	cyu2 lei5 nang4 lik6
處級	cyu3 kap1
虙	fuk6
虛位以待	heoi1 wai6 ji5 doi6
虛偽類真	heoi1 ngai6 leoi6 zan1
虛像	heoi1 zoeng6
虛名	heoi1 ming4
虛客族	heoi1 haak3 zuk6
虛宮格	heoi1 gung1 gaak3
虛己以聽	heoi1 gei2 ji5 ting1
虛席以待	heoi1 zik6 ji5 doi6
虛底	heoi1 dai2
虛度	heoi1 dou6
虛度光陰	heoi1 dou6 gwong1 jam1
虛心	heoi1 sam1
虛心使人進步驕傲使人落後	heoi1 sam1 si2 jan4 zeon3 bou6 giu1 ngou6 si2 jan4 lok6 hau6
虛心好學	heoi1 sam1 hou3 hok6
虛情假意	heoi1 cing4 gaa3 ji3
虛應了事	heoi1 jing3 liu5 si6
虛應故事	heoi1 jing3 gu3 si6
虛懷若谷	heoi1 waai4 joek6 guk1
虛損	heoi1 syun2
虛擬世界	heoi1 ji4 sai3 gaai3
虛擬專用網絡	heoi1 ji5 zyun1 jung6 mong5 lok3
虛擬機	heoi1 ji4 gei1
虛擬現實	heoi1 ji4 jin6 sat6
虛擬現實置標語言	heoi1 ji4 jin6 sat6 zi3 biu1 jyu5 jin4
虛擬環境	heoi1 ji4 waan4 ging2
虛擬私人網絡	heoi1 ji5 si1 jan4 mong5 lok3
虛擬網絡	heoi1 ji4 mong5 lok6
虛擬連接	heoi1 ji4 lin4 zip3
虛數	heoi1 sou3
虛文	heoi1 man4
虛文浮禮	heoi1 man4 fau4 lai5
虛星	heoi1 sing1
虛有其表	heoi1 jau5 kei4 biu2
虛構小說	heoi1 kau3 siu2 syut3
虛歲	heoi1 seoi3
虛無主義	heoi1 mou4 zyu2 ji6
虛無假設	heoi1 mou4 gaa3 cit3
虛無縹緲	heoi1 mou4 piu5 miu5
虛發	heoi1 faat3
虛空藏菩薩	heoi1 hung1 zong6 pou4 saat3
虛粒子	heoi1 lap1 zi2
虛缺號	heoi1 kyut3 hou6
虛腕	heoi1 wun2
虛虛實實	heoi1 heoi1 sat6 sat6
虛言	heoi1 jin4
虛詐	heoi1 zaa3
虛誇	heoi1 kwaa1
虛謊	heoi1 fong1
虛警	heoi1 ging2
虛譽	heoi1 jyu6
虛電路	heoi1 din6 lou6
虛頭	heoi1 tau4
虛飄飄	heoi1 piu1 piu1
虜獲	lou5 wok6
虞世南	jyu4 sai3 naam4
虞喜	jyu4 hei2
虞城	jyu4 sing4
虞城縣	jyu4 sing4 jyun6
虞應龍	jyu4 jing3 lung4
虞舜	jyu4 seon3
號令如山	hou6 ling6 jyu4 saan1
號兵	hou6 bing1
號哭	hou4 huk1
號啕	hou6 tou4
號喪	hou4 song1
號子	hou6 zi2
號手	hou6 sau2
號數	hou6 sou3
號旗	hou6 kei4
號曰	hou6 joek6
號牌	hou6 paai2
號砲	hou6 paau3
號碼牌	hou6 maa5 paai2
號礮	hou6 paau3
號筒	hou6 tung2
號脈	hou6 mak6
號角	hou6 gok3
號誌	hou6 zi3
號音	hou6 jam1
號頭	hou6 tau4
虢	gwik1
虧友	kwai1 jau2
虧弱	kwai1 joek6
虧得	kwai1 dak1
虧折	kwai1 zit3
虧本出售	kwai1 bun2 ceot1 sau6
虧柴	kwai1 caai4
虧格	kwai1 gaak3
虧產	kwai1 caan2
虧空	kwai1 hung1
虧缺	kwai1 kyut3
虰蛵	ding1 hing1
虱乸春	sat1 naa2 ceon1
虱目魚	sat1 muk6 jyu2
虹口區	hung4 hau2 keoi1
虹吸	hung4 kap1
虹吸管	hung4 kap1 gun2
虹彩	hung4 coi2
虹橋機場	hung4 kiu4 gei1 coeng4
虹膜	hung4 mok2
虹鱒	hung4 zyun6
虺	fui1
虺虺	wai2 wai2
虺蜥	wai2 sik1
虼蚤	gat1 zou2
蚊子	man1 zi2
蚊螆	man1 zi1
蚊蟲叮咬	man1 cung4 ding1 ngaau5
蚊香	man1 hoeng1
蚊髀同牛髀	man1 bei2 tung4 ngau4 bei2
蚌埠	pong5 fau6
蚌埠市	pong5 fau6 si5
蚌山	pong5 saan1
蚌山區	pong5 saan1 keoi1
蚌殼	pong5 hok3
蚍蜉	pei4 fau4
蚍蜉撼大樹	pei4 fau4 ham6 daai6 syu6
蚍蜉撼樹	pei4 fau4 ham6 syu6
蚓	jan5
蚖蟲	jyun4 cung4
蚜蟲	ngaa4 cung4
蚣	gung1
蚤	zou2
蚩尤	ci1 jau4
蚪	dau2
蚯	jau1
蚯蚓	jau1 jan5
蚰蜒	jau4 jin4
蚰蜒路	jau4 jin4 lou6
蚱蟲	zaa3 cung4
蚵仔	ho4 zai2
蚵仔煎	ho4 zai2 zin1
蚶子	ham1 zi2
蚺蛇	jim4 se4
蛀書蟲	zyu3 syu1 cung4
蛀米大蟲	zyu3 mai5 daai6 cung4
蛀蝕	zyu3 sik6
蛀蟲	zyu3 cung4
蛆	ceoi1
蛆蟲	zeoi1 cung4
蛇匪	se4 fei2
蛇喱眼	se4 lei2 ngaan5
蛇夫座	se4 fu1 zo6
蛇島	se4 dou2
蛇島蝮	se4 dou2 fuk1
蛇形	se4 jing4
蛇有蛇路鼠有鼠路	se4 jau5 se4 lou6 syu2 jau5 syu2 lou6
蛇殼	se4 hok3
蛇毒	se4 duk6
蛇毒素	se4 duk6 sou3
蛇皮	se4 pei4
蛇皮果	se4 pei4 gwo2
蛇皮袋	se4 pei4 doi2
蛇管	se4 gun2
蛇紋岩	se4 man4 ngaam4
蛇紋石	se4 man4 sek6
蛇綠岩	se4 luk6 ngaam4
蛇綠混雜	se4 luk6 wan6 zaap6
蛇綠混雜岩	se4 luk6 wan6 zaap6 ngaam4
蛇綠混雜岩帶	se4 luk6 wan6 zaap6 ngaam4 daai3
蛇脫	se4 tyut3
蛇膽	se4 daam2
蛇蒿	se4 hou1
蛇蛻	se4 teoi3
蛇行	se4 hang4
蛇見硫磺	se4 gin3 lau4 wong4
蛇足	se4 zuk1
蛇鵰	se4 diu1
蛇麻草	se4 maa4 cou2
蛇龍珠	se4 lung4 zyu1
蛋包	daan2 baau1
蛋包飯	daan2 baau1 faan6
蛋卷	daan2 gyun2
蛋卷兒	daan2 gyun2 ji4
蛋品	daan2 ban2
蛋塔	daan2 taap3
蛋奶酥	daan2 naai5 sou1
蛋家	daan6 gaa1
蛋形	daan2 jing4
蛋捲	daan6 gyun2
蛋杯	daan2 bui1
蛋殼	daan2 hok3
蛋氨酸	daan2 on1 syun1
蛋清	daan2 cing1
蛋白石	daan2 baak6 sek6
蛋白素	daan2 baak6 sou3
蛋白腖	daan2 baak6 dung3
蛋糕裙	daan6 gou1 kwan4
蛋花湯	daan2 faa1 tong1
蛋茶	daan2 caa4
蛋逼	daan2 bik1
蛋酒	daan2 zau2
蛋餡烘餅	daan6 haam2 hung3 beng2
蛋饊	daan6 saan2
蛋黃素	daan6 wong4 sou3
蛋黃醬	daan2 wong2 zoeng3
蛐	kuk1
蛐蛐	kuk1 kuk1
蛐蛐兒	kuk1 kuk1 ji4
蛐蟮	kuk1 sin6
蛔蟲	wui4 cung4
蛔蟲病	wui4 cung4 beng6
蛘	joeng4
蛙人	waa1 jan4
蛙式	waa1 sik1
蛙泳	waa1 wing6
蛙突	waa1 dat6
蛙鞋	waa1 haai4
蛛網	zyu1 mong5
蛛蛛	zyu1 zyu1
蛜蝛	ji1 wai1
蛞蝓	kut3 jyu4
蛞螻	kut3 lau4
蛟河	gaau1 ho4
蛟河市	gaau1 ho4 si5
蛣	kit3
蛤蚧	gap3 gaai3
蛤蜊	gap3 lei4
蛤蟆夯	haa4 maa4 haang1
蛤蟆鏡	haa1 mou1 geng3
蛤蟹	gaap3 haai5
蛤蠣	gaap3 lai6
蛤𧊅	gaap3 gwaai2
蛭石	zat6 sek6
蛹	jung2
蛺蝶	gaap3 dip6
蛻	teoi3
蛻化	teoi3 faa3
蛻化變質	teoi3 faa3 bin3 zat1
蛻殼	teoi3 hok3
蛻皮	teoi3 pei4
蛾喉	ngo4 hau4
蛾子	ngo4 zi2
蛾摩拉	ngo4 mo1 laai1
蛾眉	ngo4 mei4
蛾眉月	ngo4 mei4 jyut2
蛾眉皓齒	ngo4 mei4 hou6 ci2
蛾類	ngo4 leoi6
蜀國	suk6 gwok3
蜀山	suk6 saan1
蜀山區	suk6 saan1 keoi1
蜀漢	suk6 hon3
蜀犬吠日	suk6 hyun2 fai6 jat6
蜀相	suk6 soeng3
蜀葵	suk6 kwai4
蜀錦	suk6 gam2
蜂乳	fung1 jyu5
蜂后	fung1 hau6
蜂巢	fung1 caau4
蜂巢胃	fung1 caau4 wai6
蜂房	fung1 fong4
蜂毒	fung1 duk6
蜂湧	fung1 jung2
蜂王	fung1 wong4
蜂王乳	fung1 wong4 jyu5
蜂王漿	fung1 wong4 zoeng1
蜂王精	fung1 wong4 zing1
蜂皇漿	fung1 wong4 zoeng1
蜂窩	fung1 wo1
蜂窩煤	fung1 wo1 mui4
蜂竇	fung1 dau3
蜂箱	fung1 soeng1
蜂糕	fung1 gou1
蜂群	fung1 kwan4
蜂聚	fung1 zeoi6
蜂蜜	fung1 mat6
蜂蜜梳子	fung1 mat6 so1 zi2
蜂蜜酒	fung1 mat6 zau2
蜂螫	fung1 sik1
蜂蠟	fung1 laap6
蜂起	fung1 hei2
蜂鳥	fung1 niu5
蜂鳴器	fung1 ming4 hei3
蜃	san5
蜃景	san4 ging2
蜆塘	hin2 tong4
蜆殼字	hin2 hok3 zi6
蜆殼粉	hin2 hok3 fan2
蜆鴨	hin2 aap3
蜇	zit3
蜈	ng4
蜈支洲島	ng4 zi1 zau1 dou2
蜈蚣	ng4 gung1
蜉	fau4
蜉蝣	fau4 jau4
蜍	ceoi4
蜎	jyun1
蜑人	daan6 jan4
蜑家	daan6 gaa1
蜑家話	daan6 gaa1 waa2
蜑戶	daan6 wu6
蜑民	daan6 man4
蜒	jin4
蜒蚰	jin4 jau4
蜘蛛人	zi1 zyu1 jan4
蜘蛛俠	zi1 zyu1 hap6
蜘蛛星雲	zi1 zyu1 sing1 wan4
蜘蛛痣	zi1 zyu1 zi3
蜘蛛網	zi1 zyu1 mong5
蜘蛛類	zi1 zyu1 leoi6
蜚	fei2
蜚短流長	fei1 dyun2 lau4 coeng4
蜚聲	fei1 seng1
蜚聲世界	fei1 seng1 sai3 gaai3
蜚聲海外	fei1 seng1 hoi2 ngoi6
蜚蠊	fei2 lim4
蜚蠊科	fei2 lim4 fo1
蜜囊	mat6 nong4
蜜月假期	mat6 jyut6 gaa3 kei4
蜜柑	mat6 gam1
蜜桃	mat6 tou4
蜜棗	mat6 zou2
蜜瓜	mat6 gwaa1
蜜罐	mat6 gun3
蜜蜂房	mat6 fung1 fong4
蜜蜂竇	mat6 fung1 dau3
蜜蠟	mat6 laap6
蜜露	mat6 lou6
蜜餞	mat6 zin3
蜞乸	kei4 naa2
蜣螂	goeng1 long4
蜥	sik1
蜥形綱	sik1 jing4 gong1
蜥易	sik1 jik6
蜥臀目	sik1 tyun4 muk6
蜥蜴	sik1 jik6
蜰	fei4
蜰	fai6
蜰	fei2
蜱咬病	pei4 ngaau5 beng6
蜱蟲	pei4 cung4
蜴	jik6
蜷	kyun4
蜷伏	kyun4 fuk6
蜷局	kyun4 guk6
蜷曲	kyun4 kuk1
蜷縮	kyun4 suk1
蜷臥	kyun4 ngo6
蜻蛉	cing1 ling4
蜻蛉目	cing1 ling4 muk6
蜻蜓撼石柱	cing1 ting4 ham6 sek6 cyu5
蜻蜓目	cing1 ting4 muk6
蜾	gwo2
蜿	jyun1
蝀	dung1
蝃蝥	zyut3 mau4
蝄蜽	mong5 loeng5
蝌	fo1
蝕刻	sik6 hak1
蝗科	wong4 fo1
蝙	pin1
蝙魚	pin1 jyu2
蝟	wai6
蝠鱝	fuk1 fan5
蝠鼠	fuk1 syu2
蝦丸	haa1 jyun2
蝦乾	haa1 gon1
蝦公	haa1 gung1
蝦兵蟹將	haa1 bing1 haai5 zoeng3
蝦夷	haa1 ji4
蝦夷蔥	haa1 ji4 cung1
蝦春	haa1 ceon1
蝦毛	haa1 mou1
蝦油	haa1 jau4
蝦球	haa1 kau4
蝦瘌	haa1 laat6
蝦皮	haa1 pei4
蝦眼水	haa1 ngaan5 seoi2
蝦笱	haa1 gau2
蝦腸	haa1 coeng2
蝦虎魚	haa1 fu2 jyu2
蝦虎魚科	haa1 fu2 jyu2 fo1
蝦蛄	haa1 gu1
蝦蟆	haa1 mou1
蝦轆	haa1 luk1
蝨乸擔枷	sat1 naa2 daam1 gaa1
蝨乸春	sat1 naa2 ceon1
蝨多不癢	sat1 do1 bat1 joeng5
蝨子	sat1 zi2
蝮蛇	fuk1 se4
蝰蛇	kwai1 se4
蝲蛄	laat6 gu1
蝳蝐	doi6 mou6
蝴蝶刀	wu4 dip6 dou1
蝴蝶效應	wu4 dip6 haau6 jing3
蝴蝶犬	wu4 dip6 hyun2
蝴蝶琴	wu4 dip6 kam4
蝴蝶花	wu4 dip6 faa1
蝴蝶酥	wu4 dip6 sou1
蝶山區	dip6 saan1 keoi1
蝶式	dip6 sik1
蝶戀花	dip6 lyun2 faa1
蝶竇	dip6 dau6
蝶蘭	dip6 laan4
蝶類	dip6 leoi6
蝶骨	dip6 gwat1
蝸	wo1
蝸居	wo1 geoi1
蝸廬	wo1 lou4
蝸旋	wo1 syun4
蝸桿	wo1 gon1
蝸桿副	wo1 gon1 fu3
蝸窗	wo1 coeng1
蝸蜒	wo1 jin4
蝸行	wo1 hang4
蝸行牛步	wo1 hang4 ngau4 bou6
蝻蛇	naam4 se4
螃	pong4
螃蟹	pong4 haai5
螄	si1
螉䗥	jung1 zung1
融匯	jung4 wui6
融合為一	jung4 hap6 wai4 jat1
融安	jung4 on1
融安縣	jung4 on1 jyun6
融水苗族自治縣	jung4 seoi2 miu4 zuk6 zi6 zi6 jyun6
融然	jung4 jin4
融爐	jung4 lou4
融融	jung4 jung4
融解	jung4 gaai2
融通	jung4 tung1
融雪	jung4 syut3
融雪天氣	jung4 syut3 tin1 hei3
螓	ceon4
螞蚱	maa6 zaa3
螞蜂	maa5 fung1
螞螂	maa1 long4
螞蟥	maa5 wong4
螟蟲	ming4 cung4
螢光燈	jing4 gwong1 dang1
螢光綠	jing4 gwong1 luk6
螢幕保護裝置	jing4 mok6 bou2 wu6 zong1 zi3
螢焰	jing4 jim6
螢石	jing4 sek6
螣	tang4
螫	sik1
螭首	ci1 sau2
螮	dai3
螮蝀	dai3 dung1
螯肢	ngou4 zi1
螳	tong4
螳臂擋車	tong4 bei3 dong2 ce1
螵蛸	piu1 siu1
螺刀	lo4 dou1
螺帽	lo4 mou2
螺拴	lo4 saan1
螺旋	lo4 syun4
螺旋千斤頂	lo4 syun4 cin1 gan1 ding2
螺旋形	lo4 syun4 jing4
螺旋曲面	lo4 syun4 kuk1 min2
螺旋槳	lo4 syun4 zoeng2
螺旋粉	lo4 syun4 fan2
螺旋藻	lo4 syun4 zou2
螺旋鉗	lo4 syun4 kim4
螺旋體	lo4 syun4 tai2
螺旋麵	lo4 syun4 min6
螺栓	lo4 saan1
螺桿	lo4 gon1
螺槳	lo4 zoeng2
螺槳轂	lo4 zoeng2 guk1
螺母	lo4 mou5
螺母螺栓	lo4 mou5 lo4 saan1
螺紋	lo4 man4
螺絲刀	lo4 si1 dou1
螺絲母	lo4 si1 mou5
螺絲粉	lo4 si1 fan2
螺絲起子	lo4 si1 hei2 zi2
螺絲釘	lo4 si1 deng1
螺絲鑽	lo4 si1 zyun3
螺線	lo4 sin3
螺線管	lo4 sin3 gun2
螺號	lo4 hou6
螺螄	lo4 si1
螺距	lo4 keoi5
螺釘	lo4 deng1
螺髻	lo4 gai3
螻蛄	lau4 gu1
螻蛄科	lau4 gu1 fo1
螻蟻	lau4 ngai5
螽斯	zung1 si1
螽斯科	zung1 si1 fo1
螽斯總科	zung1 si1 zung2 fo1
螿	zoeng1
蟀	seot1
蟄伏	zat6 fuk6
蟄居	zat6 geoi1
蟄眠	zat6 min4
蟄藏	zat6 cong4
蟄蟲	zat6 cung4
蟆	mou1
蟈螽	gwok3 zung1
蟈螽屬	gwok3 zung1 suk6
蟈蟈	gwok3 gwok3
蟈蟈兒	gwok3 gwok3 ji4
蟈蟈籠	gwok3 gwok3 lung4
蟊賊	maau4 caak6
蟋	sik1
蟋蟀	sik1 seot1
蟋蟀草	sik1 seot1 cou2
蟎蟲	mun5 cung4
蟒	mong5
蟒袍	mong5 pou4
蟛蜞	paang4 kei4
蟠尾絲蟲	faan4 mei5 si1 cung4
蟠尾絲蟲症	faan4 mei5 si1 cung4 zing3
蟠據	pun4 geoi3
蟠曲	pun4 kuk1
蟠根錯節	pun4 gan1 co3 zit3
蟠桃勝會	pun4 tou4 sing3 wui2
蟠石	pun4 sek6
蟠踞	pun4 geoi3
蟢	hei2
蟢子	hei2 zi2
蟣子	gei2 zi2
蟥	wong4
蟥蜞	wong4 kei2
蟪蛄	wai6 gu1
蟪蛄不知春秋	wai6 gu1 bat1 zi1 ceon1 cau1
蟬科	sim4 fo1
蟬聯	sim4 lyun4
蟬蛻	sim4 teoi3
蟬衣	sim4 ji1
蟬鳴	sim4 ming4
蟭蟟	ziu1 liu4
蟯蟲	jiu4 cung4
蟯蟲病	jiu4 cung4 beng6
蟲兒	cung4 ji4
蟲媒病毒	cung4 mui4 beng6 duk6
蟲子	cung4 zi2
蟲子牙	cung4 zi2 ngaa4
蟲洞	cung4 dung6
蟲災	cung4 zoi1
蟲牙	cung4 ngaa4
蟲白蠟	cung4 baak6 laap6
蟲草	cung4 cou2
蟲蛀	cung4 zyu3
蟲蟲蟻蟻	cung4 cung4 ngai5 ngai5
蟲蠟	cung4 laap6
蟲豸	cung4 zi6
蟲類	cung4 leoi6
蟲鳥叫聲	cung4 niu5 giu3 sing1
蟹厴	haai5 jim2
蟹弶	haai5 gong6
蟹春	haai5 ceon1
蟹柳	haai5 lau5
蟹爪筆	haai5 zaau2 bat1
蟹爪蘭	haai5 zaau2 laan4
蟹狀星雲	haai5 zong6 sing1 wan4
蟹獴	haai5 mung4
蟹粉	haai5 fan2
蟹肉	haai5 juk6
蟹醬	haai5 zoeng3
蟹黃	haai5 wong4
蟹黃水	haai5 wong4 seoi2
蟻多摟死象	ngai5 do1 lau5 sei2 zoeng6
蟻族	ngai5 zuk6
蟻民	ngai5 man4
蟻竇	ngai5 dau3
蟻躝噉	ngai5 laan1 gam2
蟻酸	ngai5 syun1
蟻鬥蝸爭	ngai5 dau3 wo1 zang1
蟻鴷	ngai5 lit6
蟾	sim4
蟾宮	sim4 gung1
蟾宮折桂	sim4 gung1 zit3 gwai3
蟾蜍	sim4 ceoi4
蠃	lo2
蠄蟝	kam4 keoi2
蠄蟧絲網	kam4 lou4 si1 mong5
蠅子	jing4 zi2
蠅虎	jing4 fu2
蠍子	hit3 zi2
蠍虎座	hit3 fu2 zo6
蠐螬	cai4 cou4
蠑螈	wing4 jyun4
蠔油	hou4 jau4
蠔菇	hou4 gu1
蠕	jyu4
蠕動前進	jyu4 dung6 cin4 zeon3
蠕形動物	jyu4 jing4 dung6 mat6
蠕蟲	jyu4 cung4
蠕蠕	jyu4 jyu4
蠛蠓	mit6 mung5
蠟坨	laap6 to4
蠟坨兒	laap6 to4 ji4
蠟坨子	laap6 to4 zi2
蠟扦	laap6 cin1
蠟染	laap6 jim5
蠟梅	laap6 mui4
蠟燭不點不亮	laap6 zuk1 bat1 dim2 bat1 loeng6
蠟燭兩頭燒	laap6 zuk1 loeng5 tau4 siu1
蠟版	laap6 baan2
蠟療	laap6 liu4
蠟筆小新	laap6 bat1 siu2 san1
蠟紙	laap6 zi2
蠟臺	laap6 toi4
蠟蟲	laap6 cung4
蠟青	laap6 cing1
蠟青紙	laap6 ceng1 zi2
蠡測	lai5 cak1
蠡縣	lai5 jyun6
蠢事	ceon2 si6
蠢到加零一	ceon2 dou3 gaa1 ling4 jat1
蠢動	ceon2 dung6
蠢漢	ceon2 hon3
蠢笨	ceon2 ban6
蠢蛋	ceon2 daan2
蠢貨	ceon2 fo3
蠢鈍	ceon2 deon6
蠢頓	ceon2 deon6
蠢驢	ceon2 leoi4
蠣	lai6
蠣鷸	lai6 wat6
蠣黃	lai6 wong4
蠨	siu1
蠨蛸	siu1 saau1
蠨蛸滿室	siu1 saau1 mun5 sat1
蠮螉	jit6 jung1
蠱惑人心	gu2 waak6 jan4 sam1
蠱惑仔	gu2 waak6 zai2
蠱惑友	gu2 waak6 jau2
蠱祝	gu2 zuk1
蠱脹	gu2 zoeng3
蠱靈精怪	gu2 ling4 zing1 gwaai3
蠲免	gyun1 min5
蠲吉	gyun1 gat1
蠲減	gyun1 gaam2
蠲滌	gyun1 dik6
蠲潔	gyun1 git3
蠲租	gyun1 zou1
蠲苛	gyun1 ho1
蠲賦	gyun1 fu3
蠲除	gyun1 ceoi4
蠲除苛政	gyun1 ceoi4 ho1 zing3
蠲體	gyun1 tai2
蠵	kwai4
蠶叢	caam4 cung4
蠶子	caam4 zi2
蠶寶寶	caam4 bou2 bou2
蠶山	caam4 saan1
蠶春	caam4 ceon1
蠶沙	caam4 saa1
